Kab,bpscode,kabcode,dagricode
Kab. Aceh Barat,11,1107,11.05
Kab. Aceh Barat Daya,11,1112,11.12
Kab. Aceh Besar,11,1108,11.06
Kab. Aceh Jaya,11,1116,11.14
Kab. Aceh Selatan,11,1103,11.01
Kab. Aceh Singkil,11,1102,11.1
Kab. Aceh Tamiang,11,1114,11.16
Kab. Aceh Tengah,11,1106,11.04
Kab. Aceh Tenggara,11,1104,11.02
Kab. Aceh Timur,11,1105,11.03
Kab. Aceh Utara,11,1111,11.08
Kab. Bener Meriah,11,1117,11.17
Kab. Bireuen,11,1110,11.11
Kab. Gayo Lues,11,1113,11.13
Kab. Nagan Raya,11,1115,11.15
Kab. Pidie,11,1109,11.07
Kab. Pidie Jaya,11,1118,11.18
Kab. Simeulue,11,1101,11.09
Kota Banda Aceh,11,1171,11.71
Kota Langsa,11,1173,11.74
Kota Lhokseumawe,11,1174,11.73
Kota Sabang,11,1172,11.72
Kota Subulussalam,11,1175,11.75
Prov. Aceh,11,1100,11
Semua pemda,11,1199,11.99
Kab. Asahan,12,1208,12.09
Kab. Batu Bara,12,1219,12.19
Kab. Dairi,12,1210,12.11
Kab. Deli Serdang,12,1212,12.07
Kab. Humbang Hasundutan,12,1215,12.16
Kab. Karo,12,1211,12.06
Kab. Labuhanbatu,12,1207,12.1
Kab. Labuhanbatu Selatan,12,1222,12.22
Kab. Labuhanbatu Utara,12,1223,12.23
Kab. Langkat,12,1213,12.05
Kab. Mandailing Natal,12,1202,12.13
Kab. Nias,12,1201,12.04
Kab. Nias Barat,12,1225,12.25
Kab. Nias Selatan,12,1214,12.14
Kab. Nias Utara,12,1224,12.24
Kab. Padang Lawas,12,1221,12.21
Kab. Padang Lawas Utara,12,1220,12.2
Kab. Pakpak Bharat,12,1216,12.15
Kab. Samosir,12,1217,12.17
Kab. Serdang Bedagai,12,1218,12.18
Kab. Simalungun,12,1209,12.08
Kab. Tapanuli Selatan,12,1203,12.03
Kab. Tapanuli Tengah,12,1204,12.01
Kab. Tapanuli Utara,12,1205,12.02
Kab. Toba Samosir,12,1206,12.12
Kota Binjai,12,1276,12.75
Kota Gunungsitoli,12,1278,12.78
Kota Medan,12,1275,12.71
Kota Padang Sidempuan,12,1277,12.77
Kota Pematang Siantar,12,1273,12.72
Kota Sibolga,12,1271,12.73
Kota Tanjung Balai,12,1272,12.74
Kota Tebing Tinggi,12,1274,12.76
Prov. Sumatera Utara,12,1200,12
Semua pemda,12,1299,12.99
Kab. Agam,13,1307,13.06
Kab. Dharmasraya,13,1311,13.1
Kab. Kepulauan Mentawai,13,1301,13.09
Kab. Limapuluh Kota,13,1308,13.07
Kab. Padang Pariaman,13,1306,13.05
Kab. Pasaman,13,1309,13.08
Kab. Pasaman Barat,13,1312,13.12
Kab. Pesisir Selatan,13,1302,13.01
Kab. Sijunjung,13,1304,13.03
Kab. Solok,13,1303,13.02
Kab. Solok Selatan,13,1310,13.11
Kab. Tanah Datar,13,1305,13.04
Kota Bukit Tinggi,13,1375,13.75
Kota Padang,13,1371,13.71
Kota Padang Panjang,13,1374,13.74
Kota Pariaman,13,1377,13.77
Kota Payakumbuh,13,1376,13.76
Kota Sawahlunto,13,1373,13.73
Kota Solok,13,1372,13.72
Prov. Sumatera Barat,13,1300,13
Semua pemda,13,1399,13.99
Kab. Bengkalis,14,1408,14.03
Kab. Indragiri Hilir,14,1403,14.04
Kab. Indragiri Hulu,14,1402,14.02
Kab. Kampar,14,1406,14.01
Kab. Kepulauan Meranti,14,1410,14.1
Kab. Kuantan Singingi,14,1401,14.09
Kab. Pelalawan,14,1404,14.05
Kab. Rokan Hilir,14,1409,14.07
Kab. Rokan Hulu,14,1407,14.06
Kab. Siak,14,1405,14.08
Kota Dumai,14,1473,14.72
Kota Pekanbaru,14,1471,14.71
Prov. Riau,14,1400,14
Semua pemda,14,1499,14.99
Kab. Batang Hari,15,1504,15.04
Kab. Bungo,15,1509,15.08
Kab. Kerinci,15,1501,15.01
Kab. Merangin,15,1502,15.02
Kab. Muaro Jambi,15,1505,15.05
Kab. Sarolangun,15,1503,15.03
Kab. Tanjung Jabung Barat,15,1507,15.06
Kab. Tanjung Jabung Timur,15,1506,15.07
Kab. Tebo,15,1508,15.09
Kota Jambi,15,1571,15.71
Kota Sungai Penuh,15,1572,15.72
Prov. Jambi,15,1500,15
Semua pemda,15,1599,15.99
Kab. Banyuasin,16,1607,16.07
Kab. Empat Lawang,16,1611,16.11
Kab. Lahat,16,1604,16.04
Kab. Muara Enim,16,1603,16.03
Kab. Musi Banyuasin,16,1606,16.06
Kab. Musi Rawas,16,1605,16.05
Kab. Musi Rawas Utara,16,1613,16.13
Kab. Ogan Ilir,16,1610,16.1
Kab. Ogan Komering Ilir,16,1602,16.02
Kab. Ogan Komering Ulu,16,1601,16.01
Kab. OKU Selatan,16,1608,16.09
Kab. OKU Timur,16,1609,16.08
Kab. Penukal Abab Lematang Ilir,16,1612,16.12
Kota Lubuk Linggau,16,1674,16.73
Kota Pagar Alam,16,1673,16.72
Kota Palembang,16,1671,16.71
Kota Prabumulih,16,1672,16.74
Prov. Sumatera Selatan,16,1600,16
Semua pemda,16,1699,16.99
Kab. Bengkulu Selatan,17,1701,17.01
Kab. Bengkulu Tengah,17,1709,17.09
Kab. Bengkulu Utara,17,1703,17.03
Kab. Kaur,17,1704,17.04
Kab. Kepahiang,17,1708,17.08
Kab. Lebong,17,1707,17.07
Kab. Mukomuko,17,1706,17.06
Kab. Rejang Lebong,17,1702,17.02
Kab. Seluma,17,1705,17.05
Kota Bengkulu,17,1771,17.71
Prov. Bengkulu,17,1700,17
Semua pemda,17,1799,17.99
Kab. Lampung Barat,18,1801,18.04
Kab. Lampung Selatan,18,1803,18.01
Kab. Lampung Tengah,18,1805,18.02
Kab. Lampung Timur,18,1804,18.07
Kab. Lampung Utara,18,1806,18.03
Kab. Mesuji,18,1811,18.11
Kab. Pesawaran,18,1809,18.09
Kab. Pesisir Barat,18,1813,18.13
Kab. Pringsewu,18,1810,18.1
Kab. Tanggamus,18,1802,18.06
Kab. Tulang Bawang,18,1808,18.05
Kab. Tulang Bawang Barat,18,1812,18.12
Kab. Way Kanan,18,1807,18.08
Kota Bandar Lampung,18,1871,18.71
Kota Metro,18,1872,18.72
Prov. Lampung,18,1800,18
Semua pemda,18,1899,18.99
Kab. Bangka,19,1901,19.01
Kab. Bangka Barat,19,1903,19.05
Kab. Bangka Selatan,19,1905,19.03
Kab. Bangka Tengah,19,1904,19.04
Kab. Belitung,19,1902,19.02
Kab. Belitung Timur,19,1906,19.06
Kota Pangkal Pinang,19,1971,19.71
Prov. Bangka Belitung,19,1900,19
Semua pemda,19,1999,19.99
Kab. Bintan,21,2102,21.01
Kab. Karimun,21,2101,21.02
Kab. Kepulauan Anambas,21,2105,21.05
Kab. Lingga,21,2104,21.04
Kab. Natuna,21,2103,21.03
Kota Batam,21,2171,21.71
Kota Tanjung Pinang,21,2172,21.72
Prov. Kepulauan Riau,21,2100,21
Semua pemda,21,2199,21.99
Prov. DKI Jakarta,31,3100,31
Semua pemda,31,3199,31.99
Kab. Bandung,32,3204,32.04
Kab. Bandung Barat,32,3217,32.17
Kab. Bekasi,32,3216,32.16
Kab. Bogor,32,3201,32.01
Kab. Ciamis,32,3207,32.07
Kab. Cianjur,32,3203,32.03
Kab. Cirebon,32,3209,32.09
Kab. Garut,32,3205,32.05
Kab. Indramayu,32,3212,32.12
Kab. Karawang,32,3215,32.15
Kab. Kuningan,32,3208,32.08
Kab. Majalengka,32,3210,32.1
Kab. Pangandaran,32,3218,32.18
Kab. Purwakarta,32,3214,32.14
Kab. Subang,32,3213,32.13
Kab. Sukabumi,32,3202,32.02
Kab. Sumedang,32,3211,32.11
Kab. Tasikmalaya,32,3206,32.06
Kota Bandung,32,3273,32.73
Kota Banjar,32,3279,32.79
Kota Bekasi,32,3275,32.75
Kota Bogor,32,3271,32.71
Kota Cimahi,32,3277,32.77
Kota Cirebon,32,3274,32.74
Kota Depok,32,3276,32.76
Kota Sukabumi,32,3272,32.72
Kota Tasikmalaya,32,3278,32.78
Prov. Jawa Barat,32,3200,32
Semua pemda,32,3299,32.99
Kab. Banjarnegara,33,3304,33.04
Kab. Banyumas,33,3302,33.02
Kab. Batang,33,3325,33.25
Kab. Blora,33,3316,33.16
Kab. Boyolali,33,3309,33.09
Kab. Brebes,33,3329,33.29
Kab. Cilacap,33,3301,33.01
Kab. Demak,33,3321,33.21
Kab. Grobogan,33,3315,33.15
Kab. Jepara,33,3320,33.2
Kab. Karanganyar,33,3313,33.13
Kab. Kebumen,33,3305,33.05
Kab. Kendal,33,3324,33.24
Kab. Klaten,33,3310,33.1
Kab. Kudus,33,3319,33.19
Kab. Magelang,33,3308,33.08
Kab. Pati,33,3318,33.18
Kab. Pekalongan,33,3326,33.26
Kab. Pemalang,33,3327,33.27
Kab. Purbalingga,33,3303,33.03
Kab. Purworejo,33,3306,33.06
Kab. Rembang,33,3317,33.17
Kab. Semarang,33,3322,33.22
Kab. Sragen,33,3314,33.14
Kab. Sukoharjo,33,3311,33.11
Kab. Tegal,33,3328,33.28
Kab. Temanggung,33,3323,33.23
Kab. Wonogiri,33,3312,33.12
Kab. Wonosobo,33,3307,33.07
Kota Magelang,33,3371,33.71
Kota Pekalongan,33,3375,33.75
Kota Salatiga,33,3373,33.73
Kota Semarang,33,3374,33.74
Kota Surakarta,33,3372,33.72
Kota Tegal,33,3376,33.76
Prov. Jawa Tengah,33,3300,33
Semua pemda,33,3399,33.99
Kab. Bantul,34,3402,34.02
Kab. Gunung Kidul,34,3403,34.03
Kab. Kulon Progo,34,3401,34.01
Kab. Sleman,34,3404,34.04
Kota Yogyakarta,34,3471,34.71
Prov. DI Yogyakarta,34,3400,34
Semua pemda,34,3499,34.99
Kab. Bangkalan,35,3526,35.26
Kab. Banyuwangi,35,3510,35.1
Kab. Blitar,35,3505,35.05
Kab. Bojonegoro,35,3522,35.22
Kab. Bondowoso,35,3511,35.11
Kab. Gresik,35,3525,35.25
Kab. Jember,35,3509,35.09
Kab. Jombang,35,3517,35.17
Kab. Kediri,35,3506,35.06
Kab. Lamongan,35,3524,35.24
Kab. Lumajang,35,3508,35.08
Kab. Madiun,35,3519,35.19
Kab. Magetan,35,3520,35.2
Kab. Malang,35,3507,35.07
Kab. Mojokerto,35,3516,35.16
Kab. Nganjuk,35,3518,35.18
Kab. Ngawi,35,3521,35.21
Kab. Pacitan,35,3501,35.01
Kab. Pamekasan,35,3528,35.28
Kab. Pasuruan,35,3514,35.14
Kab. Ponorogo,35,3502,35.02
Kab. Probolinggo,35,3513,35.13
Kab. Sampang,35,3527,35.27
Kab. Sidoarjo,35,3515,35.15
Kab. Situbondo,35,3512,35.12
Kab. Sumenep,35,3529,35.29
Kab. Trenggalek,35,3503,35.03
Kab. Tuban,35,3523,35.23
